Time $t$ [s]	$T_{ref}$	$T_{all}$
0.0001	0	0
0.9562	0	0
0.9563	1.172180802	1.169252593
0.9564	1.172180802	1.169252593
0.9565	1.172180802	1.169252593
0.9566	1.172180802	1.169252593
0.9567	1.172180802	1.169252593
0.9568	1.173845771	1.169163969
0.9569	1.173845771	1.169163969
0.957	1.173845771	1.169163969
0.9571	1.173845771	1.169163969
0.9572	1.173845771	1.169163969
0.9573	1.175510741	1.169075533
0.9574	1.175510741	1.169075533
0.9575	1.175510741	1.169075533
0.9576	1.175510741	1.169075533
0.9577	1.175510741	1.169075533
0.9578	1.17717571	1.168985989
0.9579	1.17717571	1.168985989
0.958	1.17717571	1.168985989
0.9581	1.17717571	1.168985989
0.9582	1.17717571	1.168985989
0.9583	1.17884068	1.168897019
0.9584	1.17884068	1.168897019
0.9585	1.17884068	1.168897019
0.9586	1.17884068	1.168897019
0.9587	1.17884068	1.168897019
0.9588	1.180505649	1.168808055
0.9589	1.180505649	1.168808055
0.959	1.180505649	1.168808055
0.9591	1.180505649	1.168808055
0.9592	1.180505649	1.168808055
0.9593	1.182170618	1.168719096
0.9594	1.182170618	1.168719096
0.9595	1.182170618	1.168719096
0.9596	1.182170618	1.168719096
0.9597	1.182170618	1.168719096
0.9598	1.183835588	1.168630711
0.9599	1.183835588	1.168630711
0.96	1.183835588	1.168630711
0.9601	1.183835588	1.168630711
0.9602	1.183835588	1.168630711
0.9603	1.185500557	1.168541292
0.9604	1.185500557	1.168541292
0.9605	1.185500557	1.168541292
0.9606	1.185500557	1.168541292
0.9607	1.185500557	1.168541292
0.9608	1.187165527	1.168452351
0.9609	1.187165527	1.168452351
0.961	1.187165527	1.168452351
0.9611	1.187165527	1.168452351
0.9612	1.187165527	1.168452351
0.9613	1.187165527	1.168452351
0.9614	1.188830496	1.16836318
0.9615	1.188830496	1.16836318
0.9616	1.188830496	1.16836318
0.9617	1.188830496	1.16836318
0.9618	1.188830496	1.16836318
0.9619	1.190495465	1.168274249
0.962	1.190495465	1.168274249
0.9621	1.190495465	1.168274249
0.9622	1.190495465	1.168274249
0.9623	1.190495465	1.168274249
0.9624	1.192160435	1.168185892
0.9625	1.192160435	1.168185892
0.9626	1.192160435	1.168185892
0.9627	1.192160435	1.168185892
0.9628	1.192160435	1.168185892
0.9629	1.193825404	1.168096971
0.963	1.193825404	1.168096971
0.9631	1.193825404	1.168096971
0.9632	1.193825404	1.168096971
0.9633	1.193825404	1.168096971
0.9634	1.195490374	1.168008057
0.9635	1.195490374	1.168008057
0.9636	1.195490374	1.168008057
0.9637	1.195490374	1.168008057
0.9638	1.195490374	1.168008057
0.9639	1.197155343	1.167918822
0.964	1.197155343	1.167918822
0.9641	1.197155343	1.167918822
0.9642	1.197155343	1.167918822
0.9643	1.197155343	1.167918822
0.9644	1.198820313	1.167829918
0.9645	1.198820313	1.167829918
0.9646	1.198820313	1.167829918
0.9647	1.198820313	1.167829918
